App_ID,游戏名称,最低CPU,最低显卡,最低内存,最低硬盘,最低配置的注意事项,推荐CPU,推荐显卡,推荐内存,推荐硬盘,推荐配置的注意事项
3006180,CORPSE58,Intel Core i5-2300,Nvidia GeForce GTX 780,8 MB RAM,,,,,,,
2111300,The City Cards Challenge,2 GHz Dual Core (Intel / AMD),,4 GB RAM,需要 200 MB 可用空间,,2.5 GHz Dual Core (Intel / AMD),,8 GB RAM,,
304190,Bloonz Toonz,2GHz Intel or AMD,Nvidia GeForce 6800GT / AMD Radeon HD 3650,2 GB RAM,需要 1 GB 可用空间,,,,,,
1961500,Nosy Little Fly,AMD Ryzen 5 1600 Six-Core Processor 3.20 GHz,Radeon(TM) RX 460 Graphics,4 GB RAM,需要 150 MB 可用空间,,AMD Ryzen 5 3600 Cache 32MB 3.6GHz,Radeon(TM) RX 580 Graphics,8 GB RAM,需要 150 MB 可用空间,
3051110,Momentum Mayhem,,,1 GB RAM,需要 200 MB 可用空间,,,,,,
1492190,Orbi's chronicles,intel i3,Nvidia GTX 760 or Radeon HD 5850,2000 MB RAM,需要 8000 MB 可用空间,,intel i5,Nvidia GTX 960 or Radeon rx 570,4000 MB RAM,需要 8000 MB 可用空间,
2426370,Long,"Ryzen 5, Intel i5",RX 580,4 GB RAM,需要 1 GB 可用空间,,,,,,
449420,Mini's Magic World,Dual Core CPU,"Intel HD Graphics 4000, Nvidia GeForce GT 8000, ATI Radeon HD 4800 Series",1 GB RAM,需要 200 MB 可用空间,,,,,,
3248510,你的老婆哦,Intel Core i5-11600K,NVIDIA GTX2050,2 GB RAM,需要 1250 MB 可用空间,附注事项: 尽量自己游玩哦,Intel i5-12500H,NVIDIA GTX4060,4 GB RAM,需要 1250 MB 可用空间,附注事项: 尽量自己游玩哦
2778300,Memory Of Courage -勇气的记忆-,,,2 GB RAM,需要 2 GB 可用空间,,,,,,
1749090,Early Quest 2,Intel Core 2 Duo T5450,,1 GB RAM,需要 500 MB 可用空间,,Intel Celeron G1840,,2 GB RAM,需要 1 GB 可用空间,
1715040,Outer Space: War Gears,Quad Core CPU at 2.2 GHz,Geforce GTX 1060 / AMD RX 480,8 GB RAM,需要 4 GB 可用空间,,Quad Core CPU at 3.0 GHz,Geforce GTX 1660 / AMD RX 5600,16 GB RAM,需要 8 GB 可用空间,
2669330,StarL2,2 Ghz,512 Mb,1 GB RAM,需要 700 MB 可用空间,,2 Ghz,1 Gb,2 GB RAM,需要 700 MB 可用空间,
1950630,Mystery Solitaire. Grimm's Tales 6,1500 MHz,,,,,2000 MHz,,,,
2479530,Crystal Math,64 bit processor and Operating System,2nd Generation Intel Graphics (2000/3000),500 MB RAM,需要 700 MB 可用空间,,64 bit processor and Operating System,2nd Generation Intel Graphics (2000/3000),1 GB RAM,需要 700 MB 可用空间,
1922130,Mystery Solitaire. Grimm's Tales 5,1500 MHz,,,,,2000 MHz,,,,
1900680,Mystery Solitaire. Grimm's Tales 4,1500 MHz,,512 MB RAM,,,2000 MHz,,1024 MB RAM,,
2332450,Loading Screen Simulator,,,,需要 100 MB 可用空间,"附注事项: This game is way less than 100 MB. It's barely even 1MB. But hey, we may add more",,,,需要 100 MB 可用空间,"附注事项: This game is way less than 100 MB. It's barely even 1MB. But hey, we may add more"
1503880,The Alpha 001,Intel(R) Core(TM) i3-8100 CPU 3.60GHz (4 CPUs),NVIDIA GeForce GT 1030 2GB,4 GB RAM,需要 10 GB 可用空间,附注事项: SSD is highly recommended or expect longer than average load times.,"Intel(R) Core(TM) i5-7400 CPU 3,00GHz (4 CPUs)",NVIDIA GeForce GTX 960 4GB,8 GB RAM,需要 10 GB 可用空间,附注事项: SSD is highly recommended.
1437170,Stranded 2,Dual Core 2.80 Ghz or higher,"1gb or greater, Open GL Support",4 GB RAM,,,Dual Core 2.80Ghz or higher,"2gb, Open GL Support",4 GB RAM,,
1248030,Thrillgate,2 GHZ,Intel HD 3000 or better,4 GB RAM,需要 500 MB 可用空间,,,,,,
1231790,Classic Card Game Old Maid,Pentium® IV 2.4GHz processor or faster,Intel® GMA chipsets supported,512 MB RAM,需要 50 MB 可用空间,"附注事项: ¹Administrator privileges are required to properly install the program on Windows® XP, Windows Vista®, Windows® 7, Windows® 8 and Windows® 10. ²User is responsible for all Internet access fees and phone charges. Important Installation Note: Please disable any Antivirus and/or Firewall software that you have running before installing this software. After the installation has completed and the product has been updated, you can re-enable your Antivirus and/or Firewall software.",,,,,
1780110,Take As Needed,"Intel Pentium D 915 (2800 MHz), AMD Athlon 64 4000+ (2600 MHz) or equivalent",GeForce 7600GS (256 MB) or Radeon HD 2600 PRO (256 MB),1 GB RAM,需要 1 GB 可用空间,,,,,,
3113390,Last Star,,,1 GB RAM,需要 100 MB 可用空间,,,,,,
1633090,Exo-Leviathan,,,,需要 400 MB 可用空间,,"Intel(R) Core(TM) i7-7700 CPU @ 3.60GHz, 3601 Mhz, 4 Core(s), 8 Logical Processor(s)",NVIDIA GeForce GTX 1050 Ti (4GB),16 GB RAM,需要 500 MB 可用空间,"附注事项: These are the components of the PC used to create the game, so i know for certain they work and run as intended"
2798690,Another Round,1.2 GHz Processor,DX 10 / 11 / 12 compatible,1 GB RAM,需要 120 MB 可用空间,,1.7 GHz Processor,DX 10 / 11 / 12 compatible,1 GB RAM,需要 150 MB 可用空间,
2325030,Project Horror Tales,Intel® Core™ i7-9700K or better,"AMD Radeon RX 5700 XT, NVIDIA GeForce RTX 2070 Super, or NVIDIA GeForce GTX 1080 Ti",16 GB RAM,需要 16 GB 可用空间,,,,,,
2226090,Athena Code,"Intel i3, AMD Ryzen3","NVIDIA GTX 4GB, AMD Radeon RX 4GB",6 GB RAM,需要 15 GB 可用空间,附注事项: Compatible with Xbox Controller,"Intel i5, AMD Ryzen5","NVIDIA GTX 6GB, AMD Radeon RX 8GB",8 GB RAM,需要 15 GB 可用空间,附注事项: Compatible with Xbox Controller
3161780,Bonds,CPU: Intel Core 2 Duo or better,"DirectX 9/OpenGL 4.1 capable GPU, 128 MB",2 GB RAM,需要 360 MB 可用空间,,,,,,
2172090,Battle Billiards,Intel Core i5-3470 3.00GHz or AMD equivalent or better,GeForce GTX 550 or better,2 GB RAM,需要 3 GB 可用空间,,Intel Core i5-3470 3.00GHz or AMD equivalent or better,GeForce GTX 550 or better,2 GB RAM,需要 3 GB 可用空间,
2125500,Two Move Chess,2 GHz,,4 GB RAM,,,,,,,
3277650,FIENDRISE,Intel Core i3-2100 or AMD FX-6300 (or equivalent),NVIDIA GeForce GTX 750 Ti or AMD Radeon HD 7850 with 2 GB VRAM,4 GB RAM,需要 110 MB 可用空间,附注事项: A 64-bit processor and operating system are required.,,,,,
3523760,イーシャの魔法書解読室,,,8 GB RAM,需要 1 GB 可用空间,,,,,,
3128440,Moments,"x86, x64 architecture with SSE2 instruction set support, ARM64.","DX10, DX11, DX12 capable.",,,,,,,,
3530750,Tower Offense,i5 7200U,NVIDIA GeForce 930MX,4 GB RAM,需要 1 GB 可用空间,,Ryzen 5 3600 / i5 10600K,Geforce GTX 1060,16 GB RAM,需要 1 GB 可用空间,
3246820,Don't Mess With Your Ex,Intel Core i3 / AMD equivalent,,2 GB RAM,,,Intel Core i5 / AMD equivalent,,2 GB RAM,,
3717310,弹幕少女的冒险,Inter(R)Core(TM)i3-370m,NVDIA GeFoce GTX 760(128MB),256 MB RAM,需要 200 MB 可用空间,附注事项: any normal pc can play,Inter(R)Core(TM)i5,NVDIA GeFoce RTX 4090Ti(12 GB),1 MB RAM,需要 500 MB 可用空间,附注事项: any normal pc can play
2803930,Cyber Workshop,Multi-core 1.8GHz or faster,"Nvidia GTX 760 or higher, AMD Radeon HD 7950​ or higher",4 GB RAM,需要 1 GB 可用空间,,Multi-core 1.8GHz or faster,"Nvidia GTX 760 or higher, AMD Radeon HD 7950​ or higher",4 MB RAM,需要 1 GB 可用空间,
1970510,Missing Persons,"Intel® Core™ i5-4460, 2.70GHz or AMD FX™-6300 or better",NVIDIA® GeForce® GTX 760 or AMD Radeon™ R7 260x with 2GB Video RAM,8 GB RAM,需要 7600 MB 可用空间,,Intel® Core™ i7 3770 3.4GHz or AMD equivalent or better,NVIDIA® GeForce® GTX 1060 with 3GB VRAM,16 GB RAM,需要 7600 MB 可用空间,
1888440,Frite Medium,,AMD Radeon HD 7610M,4 GB RAM,需要 3 GB 可用空间,,,,,,
1732170,Seqitaire,1 Ghz,OpenGL 2.1 or higher (available in most Windows systems),1 GB RAM,需要 20 MB 可用空间,,1 Ghz,OpenGL 2.1 or higher (available in most Windows systems),,,
1331390,sfäre,2 ghz,onboard graphics,1 GB RAM,,,,,,,
1210790,RC Plane VR,Intel Core i5 or equivalent,GTX 1050 4GB or equivalent,4 GB RAM,需要 512 MB 可用空间,,Intel Core i7 or equivalent,GTX 1070 or equivalent,8 GB RAM,需要 512 MB 可用空间,
1522040,MessiahEnd Refrain,Intel Core2 Duo 3.0GHz,OpenGL 4.1 capable GPU,4 GB RAM,需要 350 MB 可用空间,,Intel Core(TM) i7 3.5GHz,NVIDIA GTX 970,8 GB RAM,需要 350 MB 可用空间,
1482400,Infinite Voyager,Intel Corei5-3210M,Intel HD Graphics 4000,6 GB RAM,需要 680 MB 可用空间,附注事项: Best played in at least 1280 x 800 and any computer made after 2013.,,,,,
954970,Golden Key,intel core i3,OpenGL 1.4 or better,2000 MB RAM,,附注事项: Recomended ratio 16:9,intel core i5,OpenGL 1.4 or better,4000 MB RAM,,附注事项: Recomended ratio 16:9
3263230,Sayonara Okaasan,2 GHz,Open GL 2.0 or DirectX 9.0c,1 GB RAM,需要 1 GB 可用空间,,,,,,
3202480,ChessBlaze,"needs to be present, anything that can run windows 10 should be enough","needs to be present, anything that can run steam should be enough",4 GB RAM,需要 8 GB 可用空间,,processor with at least 8 cores,"Everything is fine, the game is 2d",8 GB RAM,需要 16 GB 可用空间,"附注事项: For singleplayer, better processor means better and faster Bot capabilities. For multiplayer, faster internet means less lag and waiting for move confirmation"
2936650,Elemental Empire,2.30 GHz,1GB,2 GB RAM,需要 200 MB 可用空间,,3.2 GHz 2 Cores,2GB,4 GB RAM,需要 200 MB 可用空间,
585310,Beyond the City VR,Intel® i5-4590 / AMD FX 8350,NVIDIA® GeForce® GTX 970 / AMD Radeon™ RX 480,4 GB RAM,需要 1 GB 可用空间,,Intel® i5-4590 / AMD,NVIDIA® GeForce® GTX 1070 Above,8 GB RAM,需要 2 GB 可用空间,
3427580,Krampus's Escape,64 bit,,4 GB RAM,需要 30 MB 可用空间,,,,,,
3047520,CatTrio,X64 architecture with SSE2 instruction set support,"DX10, DX11, and DX12-capable GPUs",,,,,,,,
1925530,Medusa Frontier,2ghz Dual Core 64bit CPU,OpenGL 4.5 compatible GPU with 2GB VRAM,2 GB RAM,需要 100 MB 可用空间,附注事项: System requirements do not guarantee compatibility.,,,,,
2767450,Bunker's Shadow,I3,UHD 630,8 GB RAM,需要 2 GB 可用空间,,I5,GTX 1050,16 GB RAM,需要 2 GB 可用空间,
1287710,Rary,1.2 Ghz or faster processor,512 MB,1024 MB RAM,需要 100 MB 可用空间,附注事项: Keyboard and Mouse,2 Ghz,512 MB,1024 MB RAM,需要 100 MB 可用空间,附注事项: Keyboard and Mouse
3711490,Oxidus Tales,x64 architecture,Opengl 3 Capable,4 GB RAM,需要 100 MB 可用空间,,,,,,
3876130,Light-Strucked,Intel Core 2 Duo E4400 @ 2.00GHz,Intel HD 3000 (128 MB),2 GB RAM,需要 1 GB 可用空间,,,,,,
1779040,Poly Memory: Furries,Intel or AMD 2 Ghz,"Intel HD Graphics, AMD Radeon Graphics, NVIDIA GeForce",2 GB RAM,需要 100 MB 可用空间,,Intel or AMD 2.4 Ghz,"Intel HD Graphics, AMD Radeon Graphics, NVIDIA GeForce",3 GB RAM,需要 100 MB 可用空间,
2134600,PIP 3,Intel or AMD 2 Ghz,"Intel HD Graphics, AMD Radeon Graphics, NVIDIA GeForce",2 GB RAM,需要 100 MB 可用空间,,Intel or AMD 2.4 Ghz,"Intel HD Graphics, AMD Radeon Graphics, NVIDIA GeForce",3 GB RAM,需要 100 MB 可用空间,
3633400,幸福惊喜后花园,Intel Core i5-6600 (3.3Ghz) or AMD Ryzen 5 1400 (3.2Ghz),NVIDIA GeForce RTX 2060 SUPER / AMD Radeon RX 5700 XT,16 GB RAM,需要 10 GB 可用空间,,Intel Core i7-8700 (3.2Ghz) or AMD Ryzen 5 3600 (3.6 Ghz),NVIDIA GeForce RTX 3060 / AMD Radeon RX 5700 XT,16 GB RAM,需要 10 GB 可用空间,
